Context,Questions,Correct Answers
Liver involvement in kidney disease and vice versa,The three major causes of renal involvement in LT patients are (one is not true): a) Pre-existing renal disease b) Immunosuppression-related infection c) Perioperative renal ischemia d) Nephrotoxic medication,b
"Late renal toxicity of treatment for childhood malignancy: risk factors, long-term outcomes, and surveillance",Which of the following statements about chronic nephrotoxicity is correct? a) The most common adverse effect of nephrectomy is tubular dysfunction. b) Radiotherapy exposing the kidneys may cause hypertension years after treatment. c) Ifosfamide causes hypomagnesaemia. d) The commonest manifestation of the tubular toxicity of platinum drugs is the Fanconi syndrome. e) Acute kidney injury usually leads to later tubular toxicity.,b
"Late renal toxicity of treatment for childhood malignancy: risk factors, long-term outcomes, and surveillance",The most common presentation of chronic ifosfamide nephrotoxicity in children is: a) Acute kidney injury. b) Hypomagnesaemia. c) Hypophosphataemia. d) Hypocalcaemia. e) Haematuria.,c
"Late renal toxicity of treatment for childhood malignancy: risk factors, long-term outcomes, and surveillance",Which of the following statements about prevention or prediction of chronic nephrotoxicity is correct? a) Mesna prevents cisplatin nephrotoxicity. b) Children with ifosfamide-induced hypophosphataemia should always be switched from ifosfamide to cyclophosphamide. c) Mannitol prevents ifosfamide nephrotoxicity. d) The use of new drugs in which preclinical studies have not demonstrated renal toxicity will eliminate the risk of chronic nephrotoxicity. e) Absence of renal toxicity at the end of anticancer treatment does not exclude future chronic nephrotoxicity.,e
"Late renal toxicity of treatment for childhood malignancy: risk factors, long-term outcomes, and surveillance",Platinum drug nephrotoxicity in children: a) Is more common after carboplatin than after cisplatin. b) Recovers by 10 years after treatment. c) Randomised controlled trial evidence shows it can be prevented by amifostine. d) Can lead to cardiac arrhythmias. e) Is commoner in infants than in older children.,d
"Late renal toxicity of treatment for childhood malignancy: risk factors, long-term outcomes, and surveillance",Which of the following statements about management of chronic nephrotoxicity is correct? a) Renal transplantation for ESRD is contraindicated in CCS. b) Magnesium supplements may be required to treat or prevent complications of platinum drug nephrotoxicity. c) Vitamin D should be avoided in children with ifosfamide nephrotoxicity. d) Hypertension is to be expected in patients with cisplatin nephrotoxicity and does not need to be treated. e) GFR should be measured (not calculated) every year in CCS.,b
Pathogenic role of inflammatory response during Shiga toxin-associated hemolytic uremic syndrome (HUS),What are the consequences of Stx-Gb3 interactions on susceptible cells? a) This interaction leads to cell death or production of chemokines/cytokines depending on the target cell and toxin concentration. b) This interaction leads only to the production of chemokines/ cytokines in target cells. c) This interaction leads to death of target cells d) This interaction leads to apoptosis or proliferation of renal cells depending on the toxin concentration.,a
Pathogenic role of inflammatory response during Shiga toxin-associated hemolytic uremic syndrome (HUS),"How does STEC trigger the intestinal immune response? a) Although LPS, Hly, flagellin and intimin trigger an intestinal inflammatory response, Stx inhibits it. b) STEC triggers the intestinal immune response through Stx-production. c) STEC triggers the intestinal immune response through several bacterial components, mainly LPS, Hly flagellin, intimin, and Stx. d) STEC trigger the intestinal immune response through several bacterial components, however, Stx is irrelevant because Gb3 is absent from human gut.",c
Pathogenic role of inflammatory response during Shiga toxin-associated hemolytic uremic syndrome (HUS),How could systemic inflammation participate in Stx-HUS development? a) Systemic inflammation induces an anti-thrombotic response. b) Systemic inflammation neutralizes Stx. c) Systemic inflammation is irrelevant for HUS outcome. d) Systemic inflammation and thrombotic response are mutually exacerbated.,d
Pathogenic role of inflammatory response during Shiga toxin-associated hemolytic uremic syndrome (HUS),"What have mouse models based on intravenous Stx and LPS injection contributed to our understanding? a) These models better reproduce clinical aspects of Stx-HUS compared to intravenous Stx injection, thus supporting the concept that systemic inflammation (triggered by LPS) plays a central pathogenic role during HUS. b) These models better reproduces gastrointestinal features of children infected with STEC, as LPS is a major component of STEC. c) These models do not contribute any additional or supplemental information compared to mouse models based on intravenous Stx injection. d) These models better reproduce neurological alterations of children infected with STEC, because LPS is neurotropic.",a
Pathogenic role of inflammatory response during Shiga toxin-associated hemolytic uremic syndrome (HUS),"According to evidence recorded from Stx-HUS patients, which components of the immune response are activated? a) Cytokine production and activation of the classical pathway of complement. b) Activation of all components of inflammation: PMN, monocytes, complement, cytokines and chemokines. c) Th1-specific cellular response and chemokine release d) Activation of local immune response in the gut, without systemic response.",b
A guide to missing data for the pediatric nephrologist,1. Which of the following describes data where the probability of missingness is related to one or more measured variables?     a) Missing at completely random     b) Missing at random     c) Not missing at random     d) Normally Distributed,b
A guide to missing data for the pediatric nephrologist,2. All of the following are appropriate methods of accounting for missing data in longitudinal studies except?     a) Last observation carried forward     b) Joint distribution model     c) Mixed-effects model using maximum likelihood estimation     d) Generalized estimating equation with multiple imputation,a
A guide to missing data for the pediatric nephrologist,3. Which of the following is recommended when performing multiple imputation?     a) Adhering to a parsimonious model building strategy     b) Including the outcome variable in the imputation model     c) Limiting the number of sensitivity analyses     d) Avoiding the use of chained equations,b
A guide to missing data for the pediatric nephrologist,4. Which of the following is the least useful strategy where data are missing at random?     a) Multiple imputation     b) Likelihood-based models     c) Joint distribution modelling     d) Complete case analysis,d
Acute kidney injury in children with chronic liver disease,1. Which one is the least common cause of AKI in patients with liver disease?  a) Hypovolemia  b) ATN  c) Infections  d) HRS,d
Acute kidney injury in children with chronic liver disease,2. A terlipressin responder is one who has:  a) Pre-renal AKI  b) Severe HRS with SCr > 7 mg/dl  c) Early increase in mean blood pressure followed by return to baseline  d) Early onset AKI with modest increase in SCr and sustained increase in blood pressure,d
Acute kidney injury in children with chronic liver disease,3. Which one of the following statements is NOT true about AKI in liver disease?  a) Definition of AKI in liver and non-liver disease patients is different  b) SCr can be reliably used to diagnose AKI in these patients  c) Biomarkers help to differentiate ATN from HRS  d) Cystatin C can be a useful adjunct in diagnosis of AKI,b
Acute kidney injury in children with chronic liver disease,4. The KDIGO definition differs from the IAC 2012 definition with the following exception?  a) Use of SCr as a marker  b) Utilization of continuous RRT  c) Defines response to treatment  d) Definition of what constitutes the baseline SCr values,b
Acute kidney injury in children with chronic liver disease,"5. Which of the following is the initial management of HRS?  a) Prometheus system  b) TIPSS  c) MARS  d) Treat associated conditions, volume expansion and vasoconstrictors",d
Assessment and management of fluid overload in children on dialysis,1. Physical examination of a 30 kg child by an experienced physician will detect signs of fluid overload when the level approaches:     a) 500 ml     b) 1 litres     c) 2 litres     d) 3 litres,d
